TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0,0,0,0,0,0,0,0,0,0,0,0
1.021678005,0,0,0,0,0,0,0,0,0,0,0,0
1.068117914,0,0,0,0,0,0,0,0,0,0,0,0
1.114557823,0,0,0,0,0,0,0,0,0,0,0,0
1.160997732,0,0,0,0,0,0,0,0,0,0,0,0
1.207437642,0,0,0,0,0,0,0,0,0,0,0,0
1.253877551,0,0,0,0,0,0,0,0,0,0,0,0
1.300317460,0,0,0,0,0,0,0,0,0,0,0,0
1.346757370,0,0,0,0,0,0,0,0,0,0,0,0
1.393197279,0,0,0,0,0,0,0,0,0,0,0,0
1.439637188,0,0,0,0,0,0,0,0,0,0,0,0
1.486077098,0,0,0,0,0,0,0,0,0,0,0,0
1.532517007,0,0,0,0,0,0,0,0,0,0,0,0
1.578956916,0.195054,0.980963,0.55821,0.44621,0.132889,0.164751,1.03804,0.415387,0.962081,0.273983,0.553647,0.641706
1.625396825,0,0,0,0,0,0,0,0,0,0,0,0
1.671836735,0,0,0,0,0,0,0,0,0,0,0,0
1.718276644,0.81779,0.0662779,0.669081,0.179443,0.268151,0.443667,0.355889,0.112941,0.293663,1.71142,0.385986,0.00298728
1.764716553,0.877813,0.676928,0.374947,0.298626,0.133051,0.348091,0.406825,0.123751,0.222356,1.33413,0.48532,0.143145
1.811156463,0.616339,1.20331,0.318514,0.376831,0.137863,0.159275,0.644565,0.426488,0.142552,1.41604,0.601994,0.16176
1.857596372,0.1863,0.956294,0.684972,0.332073,0.108516,0.544171,0.502627,0.33361,0.449269,1.28369,0.298508,0.378498
1.904036281,0,0,0,0,0,0,0,0,0,0,0,0
1.950476190,0,0,0,0,0,0,0,0,0,0,0,0
1.996916100,0.000814206,0.262644,0.494047,0.733208,0.382492,0.460452,0.359116,1.66699,0.403742,1.82787,0.207265,0.436388
2.043356009,0.000964934,0.0913113,0.898907,0.147783,0.328378,0.461948,0.540211,0.381249,0.170239,1.24928,1.2539,0.170754
2.089795918,0.000965575,0.0649875,1.13684,0.0491558,0.433785,0.205208,0.0125933,0.265034,0.14542,1.03911,1.18419,0.119192
2.136235828,0.00086196,0.151607,0.845931,0.0103864,0.489999,0.0414812,0.0840621,0.0627556,0.159295,1.82166,0.619692,0.0849453
2.182675737,0.000752186,0.154004,0.508498,0.0819493,0.457754,0.0214294,0.236577,0.0628769,0.0771805,2.5294,0.1896,0.00635865
2.229115646,0.0405126,0.153102,0.474708,0.11409,0.438576,0.0453685,0.292994,0.0576622,0.148647,2.94061,0.0296447,0
2.275555556,0.209375,0.301849,0.421639,0.00891405,0.398369,0.0173047,0.152615,0.0498155,0.391928,3.10822,0,0
2.321995465,0.281856,0.430072,0.431446,0.0170715,0.453695,0,0,0.0448568,0.444411,3.24033,0,0
2.368435374,0.189652,0.638925,0.338156,0.0169812,0.429767,0,0,0.0508888,0.281357,3.23358,0,0
2.414875283,0.0993607,0.810579,0.294296,0.0182655,0.416796,0,0,0.047702,0.191258,3.22211,0,0
2.461315193,0.0806291,0.811304,0.164208,0.0136267,0.402937,0,0.0685093,0.0434856,0.265916,3.28488,0,0
2.507755102,0.193629,0.547326,0.251296,0.0108355,0.335757,0,0.150582,0.0385128,0.354245,2.95572,0.103729,0
2.554195011,0.186403,0.382056,0.488426,0,0.311765,0.0670741,0,0.0411608,0.351778,2.75051,0.119527,0
2.600634921,0.163312,0.210266,0.494486,0,0.282691,0.107105,0.269826,0.0444696,0.256658,2.32515,0.154225,0
2.647074830,0.000763487,0.726222,0.334668,0,0.316099,0.0515185,0.411925,0.0467076,0.231753,1.89243,0.267089,0.0377125
