TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0,0,0,0,0,0,0,0,0,0,0,0
1.021678005,0,0,0,0,0,0,0,0,0,0,0,0
1.068117914,0,0,0,0,0,0,0,0,0,0,0,0
1.114557823,0,0,0,0,0,0,0,0,0,0,0,0
1.160997732,0,0,0,0,0,0,0,0,0,0,0,0
1.207437642,0,0,0,0,0,0,0,0,0,0,0,0
1.253877551,0,0,0,0,0,0,0,0,0,0,0,0
1.300317460,0,0,0,0,0,0,0,0,0,0,0,0
1.346757370,0,0,0,0,0,0,0,0,0,0,0,0
1.393197279,0,0,0,0,0,0,0,0,0,0,0,0
1.439637188,0,0,0,0,0,0,0,0,0,0,0,0
1.486077098,0,0,0,0,0,0,0,0,0,0,0,0
1.532517007,0,0,0,0,0,0,0,0,0,0,0,0
1.578956916,0,0,0,0,0,0,0,0,0,0,0,0
1.625396825,0,0,0,0,0,0,0,0,0,0,0,0
1.671836735,0,0,0,0,0,0,0,0,0,0,0,0
1.718276644,0,0,0,0,0,0,0,0,0,0,0,0
1.764716553,0,0,0,0,0,0,0,0,0,0,0,0
1.811156463,0,0,0,0,0,0,0,0,0,0,0,0
1.857596372,0,0,0,0,0,0,0,0,0,0,0,0
1.904036281,0,0,0,0,0,0,0,0,0,0,0,0
1.950476190,0,0,0,0,0,0,0,0,0,0,0,0
1.996916100,0,0,0,0,0,0,0,0,0,0,0,0
2.043356009,0,0,0,0,0,0,0,0,0,0,0,0
2.089795918,0,0,0,0,0,0,0,0,0,0,0,0
2.136235828,0,0,0,0,0,0,0,0,0,0,0,0
2.182675737,0,0,0,0,0,0,0,0,0,0,0,0
2.229115646,0,0,0,0,0,0,0,0,0,0,0,0
2.275555556,0,0,0,0,0,0,0,0,0,0,0,0
2.321995465,0,0,0,0,0,0,0,0,0,0,0,0
2.368435374,0,0,0,0,0,0,0,0,0,0,0,0
2.414875283,0,0,0,0,0,0,0,0,0,0,0,0
2.461315193,0,0,0,0,0,0,0,0,0,0,0,0
2.507755102,0,0,0,0,0,0,0,0,0,0,0,0
2.554195011,0,0,0,0,0,0,0,0,0,0,0,0
2.600634921,0,0,0,0,0,0,0,0,0,0,0,0
2.647074830,0,0,0,0,0,0,0,0,0,0,0,0
2.693514739,0,0,0,0,0,0,0,0,0,0,0,0
2.739954649,0,0,0,0,0,0,0,0,0,0,0,0
2.786394558,8.70949e-05,0.078302,0,0.920732,0.315191,0.947448,0.0351164,0,0.0252493,0.0605889,3.15019,0.214384
2.832834467,0,0.0554925,0.00080544,0.642919,0.220258,0.734264,0.0335714,0.302536,0.032623,0,3.36765,0.163816
2.879274376,0.0337729,0.00154358,0.0103691,0.869484,0.328089,0.752181,0.0508856,0.466105,0,0,3.40359,0.184315
2.925714286,0.0735058,0.310325,0.05492,1.04683,0.215881,0.660487,0.0474901,0.295324,0,0,3.42772,0.210669
2.972154195,0.0611729,0.37084,0.0916438,0.930214,0.0761295,0.609819,0.0473664,0.041188,0.00529916,0.0334594,3.38761,0.423636
3.018594104,0.110048,0.277443,0.114671,0.547613,0,0.717957,0.0687789,0.161221,0.00106816,0.109926,3.1381,0.530755
3.065034014,0.075697,0.44718,0.226294,0.090899,0.0602768,0.724703,0.0829284,0.192521,0,0,3.19892,0.674493
3.111473923,0.0243246,0.554604,0.330718,0.0942844,0.0479919,0.73872,0.0200192,0,0,0,3.35707,0.423657
3.157913832,0,0.33522,0.337574,0.0904831,0.0171088,0.885041,0.138718,0,0,0,3.50161,0.302811
3.204353741,0.0261402,0.0657639,0.213379,0.0724596,0.0167521,0.94807,0.15042,0.014492,0.00692955,0,3.60354,0.234362
