TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0,0,0,0,0,0,0,0,0,0,0,0
1.021678005,0,0,0,0,0,0,0,0,0,0,0,0
1.068117914,0,0,0,0,0,0,0,0,0,0,0,0
1.114557823,0,0,0,0,0,0,0,0,0,0,0,0
1.160997732,0,0,0,0,0,0,0,0,0,0,0,0
1.207437642,0,0,0,0,0,0,0,0,0,0,0,0
1.253877551,0,0,0,0,0,0,0,0,0,0,0,0
1.300317460,0,0,0,0,0,0,0,0,0,0,0,0
1.346757370,0,0,0,0,0,0,0,0,0,0,0,0
1.393197279,0,0,0,0,0,0,0,0,0,0,0,0
1.439637188,0,0,0,0,0,0,0,0,0,0,0,0
1.486077098,0,0,0,0,0,0,0,0,0,0,0,0
1.532517007,0,0,0,0,0,0,0,0,0,0,0,0
1.578956916,0,0,0,0,0,0,0,0,0,0,0,0
1.625396825,0,0,0,0,0,0,0,0,0,0,0,0
1.671836735,0,0,0,0,0,0,0,0,0,0,0,0
1.718276644,0,0,0,0,0,0,0,0,0,0,0,0
1.764716553,0,0,0,0,0,0,0,0,0,0,0,0
1.811156463,0,0,0,0,0,0,0,0,0,0,0,0
1.857596372,0,0,0,0,0,0,0,0,0,0,0,0
1.904036281,0,0,0,0,0,0,0,0,0,0,0,0
1.950476190,0,0,0,0,0,0,0,0,0,0,0,0
1.996916100,0,0,0,0,0,0,0,0,0,0,0,0
2.043356009,0,0,0,0,0,0,0,0,0,0,0,0
2.089795918,0,0,0,0,0,0,0,0,0,0,0,0
2.136235828,0,0,0,0,0,0,0,0,0,0,0,0
2.182675737,0,0,0,0,0,0,0,0,0,0,0,0
2.229115646,0,0,0,0,0,0,0,0,0,0,0,0
2.275555556,0,0,0,0,0,0,0,0,0,0,0,0
2.321995465,0,0,0,0,0,0,0,0,0,0,0,0
2.368435374,0,0,0,0,0,0,0,0,0,0,0,0
2.414875283,0,0,0,0,0,0,0,0,0,0,0,0
2.461315193,0,0,0,0,0,0,0,0,0,0,0,0
2.507755102,0,0,0,0,0,0,0,0,0,0,0,0
2.554195011,0,0,0,0,0,0,0,0,0,0,0,0
2.600634921,0.140687,0.615236,0.532147,0,2.45994,0.55488,0.0288982,0.146907,0.495294,2.78832,0.00264384,0.251213
2.647074830,0,0.699827,0.860252,0,2.43949,0.473281,0.0369809,0.137491,0.417423,2.86352,0.00253324,0.334862
2.693514739,0,0.747016,1.26579,0,2.22209,0.456266,0.293207,0.151918,0.437375,2.8387,0.00188115,0.191394
2.739954649,0,0.849048,0.856041,0.0525832,2.03684,0.433006,0.498505,0.207106,0.322575,3.04075,0.00111249,0.114146
2.786394558,0,0.891215,0.0945942,0.00710488,2.0285,0.313223,0.547549,0.220617,0.370147,3.18881,0.00085332,0.405891
2.832834467,0,0.909946,0.0709782,0,2.08973,0.62476,0.0423047,0.225108,0.223324,3.07067,0.00136282,0.637173
2.879274376,0,0.982036,0.156953,0,2.15599,0.847332,0.0235394,0.231951,0.251393,3.02811,0.0018533,0.572817
2.925714286,0,1.11861,0.138992,0,2.19891,1.00814,0.0493942,0.230176,0.338677,3.03918,0.00195572,0.302436
2.972154195,0.18697,1.24204,0.133312,0,2.14369,1.03339,0.0586153,0.150688,0.334301,3.09022,0.00156444,0.095489
3.018594104,0.248043,1.11288,0.178758,0,1.94065,0.89081,0.0543685,0.115764,0.271793,3.19866,0.000946109,0.115408
3.065034014,9.1566e-05,1.16343,0.1282,0,1.90304,0.784873,0.032585,0.108247,0.34169,3.26177,0.0249687,0.149571
3.111473923,0.0396271,1.1561,0.0599577,0,1.97225,0.765427,0.0215919,0.109027,0.492322,3.1799,0.00223067,0.342039
