TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0.29361,0.0321867,0.827929,0.613126,0.0635958,0.44767,0,0.0311784,3.10118,0.00060139,0.282828,0.213838
0.743038549,0.269169,0.00047203,0.638402,0.481525,0.0700572,0.49195,0.124028,0.0137705,2.9843,0.00448968,0.411479,0.222044
0.789478458,0.300253,0.000586068,0.348348,0.395781,0.0668094,0.494116,0.0405984,0.00374923,2.94075,0.103475,0.437749,0.208456
0.835918367,0.291582,0.118292,0.286621,0.548546,0.0606137,0.409363,0,0.0202675,2.84694,0.650254,0.0889359,0.218436
0.882358277,0.311716,0.134561,0.116161,0.553072,0.160537,0.308706,0.0208718,0.0278022,2.90695,0.732497,0.00196057,0.638567
0.928798186,0.390253,0.275111,0.456998,0.483964,0.365184,0.163543,0.0403399,0.0347859,2.74364,0.205541,0.00171916,0.568163
0.975238095,0.974887,0.467271,0.559683,0.413912,0.579528,0.0350968,0.0802461,0.0349395,2.73952,0.0251838,0.00179606,0.384668
1.021678005,1.12817,0.559483,0.348916,0.513132,0.665031,0.160291,0.0424886,0.0396216,2.78313,0.0133986,0.00148539,0.16959
1.068117914,0.912762,0.469932,0.00372288,0.383604,0.575729,0.135853,0.0391054,0.0321533,2.5842,0.0883385,0.41645,0.161171
1.114557823,0.817393,0.195853,0.00209021,0.295206,0.390905,0,0.0295424,0.167213,2.62981,0.0976572,0.493946,0.205837
1.160997732,0.326301,0.00137976,0.00229956,0.23736,0.229732,0.199316,0.0226498,0.225788,2.91919,0.0334956,0.864172,0.203147
1.207437642,0.27232,0.046004,0.00218113,0.412754,0.0295283,0.31015,0.0224988,0.393565,3.12851,0.00394164,1.00063,0.168851
1.253877551,0.282594,0.00174786,0.122118,0.417034,0.0235408,0.24472,0.0348587,0.308677,3.20504,0.00054175,0.897455,0.141633
1.300317460,0.36489,0.149107,0,0.408842,0.0575071,0.418886,0.0869159,0.0293215,3.16419,0.000441105,0.512001,0.208116
1.346757370,0.376942,0.481889,0.00729012,0.464641,0.256082,0.330679,0.0688011,0.0289622,3.08944,0.000256059,0.00120971,0.692161
1.393197279,0.31483,0.659529,0.0852598,0.497788,0.00310528,0.223148,0.0407821,0.0359063,3.16551,0,0.689973,0.34372
1.439637188,0.315174,0.78431,0.147925,0.541263,0.0034943,0.266521,0.0362351,0.0213854,3.11613,0,0.910537,0.200129
1.486077098,0.273038,0.664365,0.030283,0.557352,0.000783315,0.220577,0.077746,0.00548024,3.13606,0.00860411,0.773846,0.156141
1.532517007,0.189869,0.525119,0.125774,0.57172,0.00923364,0.34707,0.0989319,0.00125034,3.32132,0.0129688,0.329156,0.171596
1.578956916,0.0761823,0.356831,0.303941,0.522096,0.440594,0.431679,0.0892414,0.0129669,3.1565,0.0221389,0.0346128,0.246969
1.625396825,0.160361,0.275759,0.0389783,0.426321,0.750417,0.072577,0.0952927,0,3.13363,0.443175,0.131192,0.324866
1.671836735,0.334339,1.11707,0.000671302,0.359897,0.615651,0.0405572,0.352849,0,2.90118,0.5047,0.151548,0.172381
1.718276644,0.349703,1.41049,0.00877514,0.337841,0.116228,0.0138797,0.464423,0,2.90245,0.524299,0.0964654,0.223056
1.764716553,0.124117,1.51223,0.00518779,0.366232,2.60542e-05,0,0.626466,0.00597691,2.88537,0.657122,0.282159,0.251427
1.811156463,0.0794965,1.66007,0.0457979,0.462954,0,0,0.533564,0.0240693,2.67281,0.780685,0.288252,0.203159
1.857596372,0,1.71958,0.0251176,0.431267,0,0.315287,0.283671,0.105356,2.59054,0.70871,0.188229,0.0775614
1.904036281,0,1.86213,0.0649058,0.236005,0.146571,0.38581,0.0730465,0.0221703,2.58171,0.543049,0.207272,0
1.950476190,0,1.99457,0.395164,0.257168,0.26843,0.301532,0.0366327,0.00929267,2.65602,0.271242,0.234872,0.310713
1.996916100,0.0447349,2.06207,0.370276,0.274441,0.240408,0.24547,0.0414211,0.023524,2.72593,0.226501,0.191832,0.335057
