TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0,0,0,0,0,0,0,0,0,0,0,0
1.021678005,0,0,0,0,0,0,0,0,0,0,0,0
1.068117914,0.590526,0.587377,0.725407,0.172172,0.0162435,1.37271,1.04106,0.0879406,0.345601,0.874076,0.704433,0.323904
1.114557823,0.878224,0.54585,0.22814,0.594415,0.0178701,1.01534,1.03533,0.029297,0.348193,0.808622,0.825444,0.388982
1.160997732,0.86816,0.437488,0.221017,0.60391,0.029672,0.883845,0.963507,0.139801,0.483959,0.596449,0.924647,0.300369
1.207437642,0.737959,0.40006,0.283761,0.454726,0.258498,0.835784,0.842758,0.35982,0.55387,0.895456,1.05294,0.112822
1.253877551,0.369735,0.803249,0.210203,0.534914,0.471473,0.399903,0.210954,0.341281,0.473005,1.10612,1.13186,0
1.300317460,0.791303,0.9392,0.0517304,0.445206,0.103327,0.310964,0.367096,0.946878,0.352954,1.38696,0.801885,0.442316
1.346757370,0.963392,0.706094,0.0567267,0.159144,0.12542,0.386338,0.38873,1.45855,0.236726,1.06817,0.525526,1.10433
1.393197279,1.10414,0.360495,0.0892324,0.1991,0.0316322,0.685769,0.639973,1.24094,0.232411,0.517939,0.595588,1.16555
1.439637188,1.28214,0.15476,0.0543526,0.321748,0.686973,0.626951,0.878714,0.825877,0.150625,0.173109,1.00917,0.668723
1.486077098,1.56606,0.306582,0.0410221,0.188748,0.98997,0.313276,0.797601,0.518471,0.148455,0.15102,1.1693,0.250121
1.532517007,1.4111,0.122648,0.160223,0.192706,0.546302,0.190137,0.662867,0.359695,0.0987264,1.30243,0.725376,0.219388
1.578956916,1.19968,0.094291,0.252762,0.188163,0.373905,0.183146,0.92476,0.402919,0.190343,1.11132,0.603936,0.105467
1.625396825,0.614755,0.188981,0.133889,0.155338,0.539052,0.570749,1.1449,0.654476,0.164505,0.337595,0.829614,0.237608
1.671836735,0.225711,0.130833,0.00140099,0.106646,0.841525,0.586462,1.06456,0.384913,0.107272,0.120234,1.65084,0.309588
1.718276644,0.471191,0.0780403,0.154714,0.325111,0.891209,0.386506,0.966373,0.193516,0.0320908,0.0537087,2.25074,0.215217
1.764716553,0.464614,0.0910142,0.0592086,0.398262,0.761489,0.534486,0.738242,0.382109,0.233683,0.0332316,2.62441,0.0718413
1.811156463,0.109781,0.225026,0.000251766,0.334881,0.3978,0.751791,0.427289,0.638736,0.181241,0.0730331,2.72495,0.120459
1.857596372,0.0414512,0.268224,0,0.606446,0.289968,0.662715,0.779071,0.946387,0.0364577,0.104128,2.45596,0.231518
1.904036281,0.0367237,0.224373,0,0.595023,0.355572,0.429015,0.980887,1.44546,0.150051,0.0895359,2.1684,0.5388
1.950476190,0.0370311,1.37632,0,0.597959,0.595245,0.305482,0.475096,2.38987,0.0994257,0.202836,0.965985,0.800297
1.996916100,0.019639,1.96031,0.113705,0.0793472,0.816843,0.230757,0.527903,2.44752,0.0325373,0.0471567,1.03992,0.828575
2.043356009,0.032775,1.86266,0.19445,0.195712,0.793865,0.213097,0.406629,1.49998,0.113993,0.056901,1.14608,0.866609
2.089795918,0.117462,1.6683,0.505021,0.262033,0.732223,0.255695,0.311991,0.959559,0.33572,0.0799474,0.980385,0.731947
2.136235828,0.0957185,1.01552,0.737031,0.622389,0.822848,0.469008,0.520792,0.66444,0.729696,0.0430572,0.541596,0.907629
2.182675737,0.262937,0.0413902,0.812789,0.565334,0.667945,0.609102,0.710408,0.856928,1.27939,0.000795645,0.68314,1.27232
2.229115646,0.131383,0.0141255,0.615588,0.499067,0.0984981,0.102594,0.658196,0.604593,2.18222,0.000133682,0.522691,0.701244
