TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0,0,0,0,0,0,0,0,0,0,0,0
0.278639456,0,0,0,0,0,0,0,0,0,0,0,0
0.325079365,0,0,0,0,0,0,0,0,0,0,0,0
0.371519274,0,0,0,0,0,0,0,0,0,0,0,0
0.417959184,0,0,0,0,0,0,0,0,0,0,0,0
0.464399093,0,0,0,0,0,0,0,0,0,0,0,0
0.510839002,0,0,0,0,0,0,0,0,0,0,0,0
0.557278912,0,0,0,0,0,0,0,0,0,0,0,0
0.603718821,0,0,0,0,0,0,0,0,0,0,0,0
0.650158730,0,0,0,0,0,0,0,0,0,0,0,0
0.696598639,0,0,0,0,0,0,0,0,0,0,0,0
0.743038549,0,0,0,0,0,0,0,0,0,0,0,0
0.789478458,0,0,0,0,0,0,0,0,0,0,0,0
0.835918367,0,0,0,0,0,0,0,0,0,0,0,0
0.882358277,0,0,0,0,0,0,0,0,0,0,0,0
0.928798186,0,0,0,0,0,0,0,0,0,0,0,0
0.975238095,0,0,0,0,0,0,0,0,0,0,0,0
1.021678005,0,0,0,0,0,0,0,0,0,0,0,0
1.068117914,0,0,0,0,0,0,0,0,0,0,0,0
1.114557823,0,0,0,0,0,0,0,0,0,0,0,0
1.160997732,0,0,0,0,0,0,0,0,0,0,0,0
1.207437642,0,0,0,0,0,0,0,0,0,0,0,0
1.253877551,0,0,0,0,0,0,0,0,0,0,0,0
1.300317460,0,0,0,0,0,0,0,0,0,0,0,0
1.346757370,0,0,0,0,0,0,0,0,0,0,0,0
1.393197279,0,0,0,0,0,0,0,0,0,0,0,0
1.439637188,0,0,0,0,0,0,0,0,0,0,0,0
1.486077098,0,0,0,0,0,0,0,0,0,0,0,0
1.532517007,0,0,0,0,0,0,0,0,0,0,0,0
1.578956916,0,0,0,0,0,0,0,0,0,0,0,0
1.625396825,0,0,0,0,0,0,0,0,0,0,0,0
1.671836735,0,0,0,0,0,0,0,0,0,0,0,0
1.718276644,0,0,0,0,0,0,0,0,0,0,0,0
1.764716553,0,0,0,0,0,0,0,0,0,0,0,0
1.811156463,0,0,0,0,0,0,0,0,0,0,0,0
1.857596372,0,0,0,0,0,0,0,0,0,0,0,0
1.904036281,0,0,0,0,0,0,0,0,0,0,0,0
1.950476190,0,0,0,0,0,0,0,0,0,0,0,0
1.996916100,0,0,0,0,0,0,0,0,0,0,0,0
2.043356009,0,0,0,0,0,0,0,0,0,0,0,0
2.089795918,0,0,0,0,0,0,0,0,0,0,0,0
2.136235828,0,0,0,0,0,0,0,0,0,0,0,0
2.182675737,0,0,0,0,0,0,0,0,0,0,0,0
2.229115646,0,0,0,0,0,0,0,0,0,0,0,0
2.275555556,0,0,0,0,0,0,0,0,0,0,0,0
2.321995465,0,0,0,0,0,0,0,0,0,0,0,0
2.368435374,0,0,0,0,0,0,0,0,0,0,0,0
2.414875283,0,0,0,0,0,0,0,0,0,0,0,0
2.461315193,0,0,0,0,0,0,0,0,0,0,0,0
2.507755102,0,0,0,0,0,0,0,0,0,0,0,0
2.554195011,0,0,0,0,0,0,0,0,0,0,0,0
2.600634921,0,0,0,0,0,0,0,0,0,0,0,0
2.647074830,0,0,0,0,0,0,0,0,0,0,0,0
2.693514739,0,0,0,0,0,0,0,0,0,0,0,0
2.739954649,0,0,0,0,0,0,0,0,0,0,0,0
2.786394558,0,0,0,0,0,0,0,0,0,0,0,0
2.832834467,0,0,0,0,0,0,0,0,0,0,0,0
2.879274376,0,0,0,0,0,0,0,0,0,0,0,0
2.925714286,0,0,0,0,0,0,0,0,0,0,0,0
2.972154195,0,0,0,0,0,0,0,0,0,0,0,0
3.018594104,0,0,0,0,0,0,0,0,0,0,0,0
3.065034014,0,0,0,0,0,0,0,0,0,0,0,0
3.111473923,0,0,0,0,0,0,0,0,0,0,0,0
3.157913832,0,0,0,0,0,0,0,0,0,0,0,0
3.204353741,0,0,0,0,0,0,0,0,0,0,0,0
3.250793651,0,0,0,0,0,0,0,0,0,0,0,0
3.297233560,0,0,0,0,0,0,0,0,0,0,0,0
3.343673469,0,0,0,0,0,0,0,0,0,0,0,0
3.390113379,0.0870028,0.283255,0.50941,0.308878,0.199261,0.164877,0.0677838,0.0949948,0.651463,1.77826,0,0.155272
3.436553288,0.110778,0.455359,0.264632,0,0.197444,0.0924,0.201232,0.0683209,0.774468,1.83036,0.0175948,0.359081
3.482993197,0.0436074,0.615615,0.0985383,0.188934,0.208576,0.0395394,0.200325,0.0985664,0.768942,1.96934,0,0.62034
3.529433107,0.142205,0.281222,0.000473641,0.203608,0.170337,0.175678,0.422211,0.136075,0.222563,2.33981,0.0840902,0.620864
