Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:7zKeJFdpdmMv5RtmwUfo37,"No Abiding City","No Abiding City","Dumama",2026-01-23,250353,15,false,soundwayrecs,2026-01-23T05:28:20Z,"electroclash","Soundway Records Ltd",0.27,0.542,5,-11.774,1,0.0827,0.571,0.167,0.0854,0.298,75.906,4
spotify:track:4RszGlnuRLgy4vkWixsBv5,"Flora and Fauna","Flora and Fauna","The Circling Sun",2025-11-05,260040,13,false,soundwayrecs,2025-11-05T14:00:29Z,"","Soundway Records Ltd",0.384,0.493,0,-12.715,1,0.0479,0.0285,0.895,0.101,0.444,144.344,4
spotify:track:74jNYsUsPxhj2owoNxOizN,"Camila","Metalmadeira II","Marco Bosco;Alter Disco;Barbara Boeing",2025-11-14,253363,7,false,soundwayrecs,2025-11-14T08:47:13Z,"braziliaanse jazz,acid house,italo disco","Soundway Records Ltd",0.605,0.775,8,-7.741,1,0.0417,0.00137,0.914,0.0716,0.285,180.022,4
spotify:track:2W8XgMiDdaO9VkGPcA58u6,"Pedra","Pedra","Marco Bosco;Alter Disco;Barbara Boeing",2025-10-10,265846,6,false,soundwayrecs,2025-10-10T09:09:45Z,"braziliaanse jazz,acid house,italo disco","Soundway Records Ltd",0.699,0.934,6,-8.206,1,0.0629,0.0466,0.862,0.068,0.527,130.01,4
spotify:track:2PbIdf3dcPxKG4fVfeuPEY,"Awisia","Awisia","K. Frimpong;Cubano Fiestas",2025-08-26,322091,4,false,soundwayrecs,2025-09-01T11:45:36Z,"highlife,hiplife,afrobeat","Soundway Records Ltd",0.617,0.661,0,-9.542,0,0.182,0.598,0,0.304,0.887,139.017,4
spotify:track:2uXPg72qwu0yiRNpzmfAHU,"Constellation","Constellation","The Circling Sun",2025-05-22,451040,10,false,soundwayrecs,2025-05-22T13:22:14Z,"","Soundway Records Ltd",0.351,0.514,5,-13.742,0,0.0401,0.214,0.843,0.092,0.682,127.029,4
spotify:track:0ANO7DbSb79plOXnKZ6m9h,"Nkwanta Bisa (At the Junction)","Nkwanta Bisa (At the Junction)","Kwashibu Area Band",2025-03-26,209376,30,false,soundwayrecs,2025-03-26T09:37:16Z,"highlife,afrobeat,hiplife","Soundway Records Ltd",0.769,0.513,8,-8.391,1,0.0674,0.686,0.823,0.152,0.579,148.05,3
spotify:track:2zwUMSQydXxtDbKn5h4GYS,"Se Essa Rua","Superfluido","Nina Girassóis;Paulera",2024-10-18,184505,10,false,soundwayrecs,2025-03-31T10:17:57Z,"dub,ragga","Dubquake Records",0.66,0.566,4,-6.262,0,0.0602,0.232,0,0.0498,0.954,173.966,4
spotify:track:5zeqBrXNnFJOQ7X7sXZIyU,"No Dreams","Who Do You Think I Am?","MIlton Henry",2006-09-01,280066,22,false,soundwayrecs,2025-05-07T14:21:50Z,"roots reggae,dub,reggae,rocksteady","Wackies",0.857,0.505,3,-9.227,0,0.166,0.00664,0.00000148,0.167,0.857,130.932,4
spotify:track:7pYcwzmtHcKgXtsttdBDeS,"Sweet Sweet Music","Sweet Sweet Music","Wrong Way Up",2025-01-15,193605,10,false,soundwayrecs,2025-01-15T12:30:13Z,"","Soundway Records Ltd",0.83,0.423,11,-9.94,0,0.0779,0.000585,0.000032,0.177,0.674,123.011,4
spotify:track:5gGqgnain6yTxQF6UJagqL,"Philomene","Philomene","Pedro Lima;Os Leononses",2025-04-22,475813,7,false,soundwayrecs,2025-05-07T14:26:57Z,"","Strut",0.579,0.891,7,-5.67,1,0.0494,0.212,0.0143,0.422,0.889,134.903,4
spotify:track:4miFli1GcCXR80mHOVSzXi,"Tout doux - Blundetto Remix","Tout doux (Blundetto Remix)","Poirier;Jérôme Minière;Blundetto",2025-03-14,209069,17,false,soundwayrecs,2025-03-14T19:15:25Z,"folk Québécois,chanson québécoise,franse pop,dub,nu jazz,reggae","Novisa",0.845,0.469,4,-11.54,0,0.0393,0.362,0.803,0.0986,0.742,100.002,4
spotify:track:1viECEjmoMnc09BrgeE430,"Kyenkyen","Best of K.Frimpong","K. Frimpong",2025-05-02,330658,8,false,soundwayrecs,2025-05-07T14:19:29Z,"highlife,hiplife,afrobeat","Hot Casa Records",0.827,0.744,4,-6.101,1,0.132,0.447,0.000736,0.246,0.738,93.249,4
spotify:track:4EZJoti0jYhAE8iXMKFLud,"Staring at the Moon","Guetto Star","DJ Lycox",2024-10-25,223636,15,false,soundwayrecs,2024-11-28T09:38:02Z,"kuduro,afrohouse,uk funky,singeli","Príncipe",0.705,0.604,4,-8.135,0,0.199,0.356,0.323,0.0665,0.153,175.982,4
spotify:track:07EWBGzgSVNUd9o71mb7oP,"Khadim","Khadim","Mark Ernestus’ Ndagga Rhythm Force",2025-05-09,826961,20,false,soundwayrecs,2025-05-19T13:10:39Z,"dub techno","Ndagga",0.527,0.504,7,-19.146,1,0.364,0.433,0.915,0.122,0.767,138.216,4
spotify:track:1JUQkMbEVCjcanbkrd53Bv,"A Juniper Tree Whose Roots Are Made of Fire - شجرة عرعار بشروشها نار و شرار","Thauma","Big Hands;Bint Mbareh",2025-04-11,446212,8,false,soundwayrecs,2025-05-07T14:24:44Z,"dub techno,idm","Marionette",0.762,0.556,5,-15.31,0,0.078,0.417,0.858,0.0689,0.261,106.986,4
spotify:track:6tuFC82biB4pG0AZDkQqpv,"Moulongo - Vocal","Moulongo (Vocal)","Marechal Papillon",2024-05-01,291982,2,false,soundwayrecs,2024-05-03T12:58:16Z,"bikutsi,coupé décalé","Soundway Records Ltd",0.724,0.885,7,-7.089,0,0.0654,0.201,0.0016,0.14,0.946,103.917,4
spotify:track:5zsaPRY12ze78VaO9G4ln9,"Ajigo Township Funk","We Cut Keys 2","Blinky Bill",2024-01-26,213100,7,false,soundwayrecs,2024-03-22T11:02:55Z,"afropop","2023 Rauka Music LTD",0.457,0.627,0,-9.282,0,0.2,0.643,0.254,0.327,0.83,94.382,4
spotify:track:5qdZg6J547skl6eW1JBYUm,"All Nite Tonight - Version","All Nite Tonight (Version)","Barbara Hernandez",2024-05-02,467114,4,false,soundwayrecs,2024-05-03T12:58:53Z,"","Soundway Records Ltd",0.782,0.712,5,-8.734,1,0.0805,0.142,0.528,0.0935,0.849,104.453,4
spotify:track:4mA0XeNZKmU2BC87nXFWl4,"Sala Mi Toto","Kampire Presents: A Dancefloor in Ndola","Pembey Sheiro",2024-08-02,398560,5,false,soundwayrecs,2024-11-28T09:56:43Z,"rumba congolaise","Strut",0.755,0.916,11,-5.688,0,0.0432,0.352,0.000243,0.0662,0.924,132.654,4
