TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0.238444,0.799974,0.142253,0.0949964,0.213273,1.57434,0.186322,1.75346,0.0232876,2.02132,0.0176388,0.317625
0.046439909,0.52567,0.982993,0.234012,0.500842,0.148716,1.37935,0.131007,1.56702,0.0337213,2.16086,0.0772165,0.298324
0.092879819,1.11139,0.77447,0.253089,1.05312,0.150525,1.03033,0.25286,1.07482,0.0430304,2.08933,0.149708,0.285924
0.139319728,0.780901,0.628362,0.178849,1.21572,0.283789,0.935493,0.59171,0.942029,0.0971892,2.02636,0.373464,0.0366968
0.185759637,0.28465,0.918076,0.314365,1.07977,0.124927,0.777745,0.6864,0.714944,0.0753804,1.97256,0.82153,0.205439
0.232199546,0.0786494,1.50634,0.564705,1.20425,0.032691,1.09602,0.682861,0.906186,0.0588386,1.89206,0.260669,0.622864
0.278639456,0,1.38267,0.488417,1.38406,0.0330127,1.18957,0.643582,1.22284,0.0710642,1.62488,0.0365922,0.976388
0.325079365,0,0.562753,0.594599,1.38681,0.193358,0.969005,0.663166,1.55286,0.143321,1.09503,0.442872,0.726243
0.371519274,4.54158e-05,0.182993,0.489462,1.50424,0.411055,0.747172,1.06103,1.13413,0.826011,0.348993,1.1032,0.393257
0.417959184,0.0299681,0.156139,0.419923,1.68211,0.207145,0.637107,1.88735,0.713982,0.886214,0.697246,0.736096,0.265023
0.464399093,0.345012,0.277572,0.445411,1.34455,0.15455,0.295497,2.21481,0.035965,0.800271,0.711634,0.787949,0.168261
0.510839002,0.696957,1.14156,0.802202,0.989852,0.0740338,0.17892,1.99178,0.0195326,0.511999,0.519994,0.774287,0.0154793
0.557278912,0.745277,1.31955,1.06022,0.396879,0.153893,0.179689,1.60161,0.0702669,0.525191,0.597104,0.719593,0.123638
0.603718821,0.568215,1.13699,1.05225,0.502727,0.344667,0.0980101,0.866032,0.182726,0.394076,0.556891,0.685088,0.270345
0.650158730,0.246088,0.582118,1.41377,0.223187,0.636846,0.163833,0.535721,0.254133,1.16022,0.517964,0.517894,0.22803
0.696598639,0.188765,0.24559,1.28675,0.36292,0.423562,0.416219,1.00599,0.257337,1.33818,0.24147,0.545058,0.143505
0.743038549,0.0799981,0.335981,1.51793,0.727828,0.3363,0.21724,1.28083,0.216112,1.19596,0,0.909073,0.24486
0.789478458,0.177058,0.804959,1.0236,1.50188,0.319831,0.0908383,1.19157,0.297597,0.940867,0.181632,0.339218,0.774979
0.835918367,0.382756,0.909434,0.833459,0.970666,0.476777,0.345574,0.79609,0.627557,0.906703,0.324106,0.15406,0.865651
0.882358277,0.334404,0.469337,1.18231,0.979729,0.452943,0.355817,1.04752,0.489096,0.778231,0.681389,0.129,1.03477
0.928798186,0.185543,0.381095,1.28202,1.14994,0.262832,0.092498,1.14212,0.420925,0.642287,0.806753,0.20799,1.479
0.975238095,0.146579,0.757326,1.39983,0.77524,0.390492,0.333372,0.806893,0.32927,0.833376,1.27066,0.499725,1.28392
1.021678005,0.134146,1.3833,1.21377,0.452026,0.508109,0.54083,0.570421,0.100718,0.984243,1.50297,0.837697,0.568676
1.068117914,0.11637,1.5089,0.85771,1.01551,0.616952,0.670703,0.463864,0.0148078,0.940563,1.58556,0.802981,0.449267
1.114557823,0.000697688,1.34164,0.624238,1.22525,0.829527,0.75845,0.786655,0.0738205,0.8645,1.78384,0.63835,0.438057
1.160997732,0.07112,0.815143,0.501287,1.02726,0.965161,0.840568,1.07378,0.310087,0.729444,1.37826,0.583654,0.515934
1.207437642,0.565478,0.633924,0.28505,1.14916,0.918082,0.780913,1.21828,1.24886,0.620319,0.664195,0.618705,0.353199
1.253877551,0.692855,0.561988,0.186722,1.13874,1.02106,0.00109513,0.455597,1.70078,0.832795,0.594851,1.21342,0.3095
1.300317460,0.38743,0.536627,0.0982877,1.24719,1.06224,0,0.41659,1.02604,1.86034,0.551918,1.37677,0.0795032
1.346757370,0.106892,0.892397,0.0771805,0.679844,1.14952,0.0228671,0.434801,0.924852,2.03633,0.645805,1.12512,0.188206
1.393197279,0.203834,1.00956,0.073814,0.622903,0.885483,0.0290816,0.596292,0.827788,1.494,0.585281,0.994163,0.759036
1.439637188,0.643238,0.645977,0.212983,0.509804,0.370464,0.305455,0.772863,0.620276,0.797352,0.531838,0.73254,1.05369
1.486077098,0.624029,0.44041,0.983111,0.315266,0.431404,1.01253,0.509512,0.339267,0.852886,0.160967,0.181536,0.933554
1.532517007,0.439003,0.283048,1.27744,0.0147209,0.820944,0.765053,0.382757,0.418736,1.07506,0.114686,0.0284787,0.51009
1.578956916,0.792296,0.376136,1.25059,0.159543,0.959743,1.12565,0.169865,0.380698,0.454897,0.113883,0.00529943,0.646052
1.625396825,0.629095,0.257997,0.587668,0.619335,0.674149,1.56144,0.223357,0.388285,0.210724,0.522048,0.0326224,1.11955
1.671836735,0.448953,0.0672544,0.265364,0.553941,0.533766,1.78806,0.157933,0.29604,0.636323,1.67788,0.0380203,1.01594
1.718276644,0,0.30693,0.687557,0.467729,0.917729,1.02126,0.220164,0.596071,0.506033,1.76425,0,0.61725
1.764716553,0.721506,0.410114,0.509239,0.37319,1.09738,0.62267,0.275639,0.849724,0.316465,1.78136,0.337128,0.132628
1.811156463,1.51295,0.574972,0.203559,0.106498,0.942988,0.746586,0.499076,0.415025,0.220468,1.63861,0.923569,0
1.857596372,1.46813,0.780013,0.0100233,0.0527186,0.595439,1.04498,0.483689,0.244745,0.223652,1.07553,1.46011,0.250048
1.904036281,0.865773,0.611324,0.260048,0.182828,0.265612,1.35496,0.679293,0.0417575,0.543626,1.25533,0.623662,0.734749
1.950476190,0.450486,0.628353,0.369136,0.330772,0.391645,1.15367,0.512284,0.62082,0.389621,1.1587,0.129321,0.907923
1.996916100,0.0906173,0.45183,0.375504,0.848489,0.821287,0.794211,0.349707,1.00143,0.28769,0.784843,0.317538,0.727159
2.043356009,0.0831746,0.496061,0.288364,0.624296,0.947496,1.57266,0.0694555,0.705892,0.326725,0.438866,0.515079,1.00294
2.089795918,0.54941,0.953071,0.428921,0.294559,0.353888,2.05239,0.035433,0.692422,0.923634,0.329074,0.850353,0.948109
2.136235828,1.14299,0.891059,0.563098,0.306375,0.0775944,1.5372,0.0799224,1.21391,1.30005,0.16885,1.18931,0.83668
2.182675737,1.19299,0.513148,0.238913,0.237346,0.574652,0.660476,0.418018,1.61697,1.06087,0.17609,0.820563,1.02171
2.229115646,0.635428,0.246028,0,0.439845,0.28297,0.724777,0.494638,1.58607,1.00185,0.154372,0.454554,1.45293
2.275555556,0.175575,0.176173,0,0.674353,0.313624,1.02487,0.237574,1.44496,0.69657,0.174535,0,1.71155
2.321995465,0.529307,0.0524382,0.489346,0.809101,0.714599,0.750987,0.317371,0.810908,0.786693,0.592272,0.00329326,1.15494
2.368435374,0.833583,0.0988235,0.357876,0.430515,0.609394,0.997055,0.206051,0.523281,1.09295,0.645841,0.0904671,0.988556
2.414875283,1.17777,0.32199,0.363116,0.274646,0.547132,0.771593,0.0568058,0.664221,0.872877,0.9792,0.170001,0.56715
2.461315193,1.18907,0.6451,0.886989,0.45614,0.369619,0.74286,0.347212,0.397598,0.715427,0.715813,0.14251,0.280434
2.507755102,0.963134,1.35953,1.11638,0.156679,0.141188,0.743779,0.201591,0.430332,0.47896,0.458263,0.278463,0.300637
2.554195011,0.737518,1.40284,1.33116,0.322275,0.113896,0.351946,0.640865,0.91328,0.354137,0.587179,0.785575,0.302691
2.600634921,0.206852,0.887053,1.4727,0.383837,0.0820131,0.428427,1.18703,1.38705,0.429817,0.379945,1.15799,0.870628
2.647074830,0.0727931,0.568308,1.05614,0.402861,0.44945,0.747648,1.62651,0.909509,0.51638,0.030958,1.3201,0.789443
2.693514739,0.241667,0.592202,0.404847,0.582174,0.336666,0.723202,1.79628,0.979016,0.750726,0.459316,1.01332,0.373265
2.739954649,0.584144,0.778043,0.110501,1.28067,0.689837,1.11579,1.24682,0.883119,0.677076,0.600058,0.438388,0.424747
2.786394558,1.06966,0.530478,0.344579,1.15404,0.555201,1.22521,0.517919,0.731859,0.661124,0.708238,0.148419,1.00812
2.832834467,1.45061,0.183639,0.558584,0.617106,0.452839,1.54695,0.219169,0.464072,1.1379,0.588681,0.189469,0.635265
2.879274376,1.55348,0.134433,0.504068,0.0995186,0.49295,2.11806,0.150425,0.199637,1.56103,0.416871,0.300142,0.293544
2.925714286,1.10734,0.343221,0.433357,0.837854,0.214383,1.82098,0.68903,0.0288455,1.38047,0.919783,0,0.267434
2.972154195,0.491419,0.793728,1.25109,1.00849,0.148793,1.21815,0.496135,0.0373645,1.17557,1.19223,0.203087,0.429984
3.018594104,0.244384,0.671857,1.72146,0.764779,0.41889,0.890733,0.250254,0.563463,0.708269,1.01405,0.878726,0.455635
3.065034014,0.0449618,0.216843,1.71444,0.496697,0.479806,1.05143,0.433317,0.64093,0.474698,0.861292,0.860276,0.432933
3.111473923,0.114114,0.0564392,1.58712,0.51424,0.356748,0.972206,1.02361,0.371691,0.489305,0.448632,0.375078,0.361922
3.157913832,0.443384,0.0963848,1.81409,0.554033,0.124061,0.121509,2.12003,0,0.534469,0.297101,0.362779,0.0256542
3.204353741,1.32465,0.00934742,1.73598,1.00131,0.0191187,0.0716621,2.17551,0.00692529,0.185871,1.22902,0.776322,0.132102
3.250793651,1.60055,0.00024398,1.27035,1.25002,0.0197868,0.0356144,1.6181,0,0.401814,1.64157,0.438041,0.210368
3.297233560,1.14657,0.122477,0.722896,1.24251,0.842869,0.688307,1.14991,0.120634,0.593784,1.42707,0.103096,0.122537
3.343673469,0.365848,0.406197,0.502156,0.882042,1.04736,0.669789,1.54052,0.27751,0.497932,1.07332,1.09186,0.374662
3.390113379,0.462841,0.624165,0.530434,0.206082,0.623489,0.20075,0.511966,0.397201,0.00819834,0.119705,1.3535,0.226528
3.436553288,0.211974,0.598257,0.902401,0.0316216,0.0995287,0.0333348,0.0986569,0.178927,0.261068,0,1.20198,0.333836
3.482993197,0.165763,0.527469,0.174989,0.0314954,0.275586,0.0765302,0.166826,0.262313,0.304598,0,1.41074,0.216801
3.529433107,0.13012,0.879388,0.152981,0.0916419,0.0183997,0.102002,0.117193,0.177872,0.233933,0.0364161,1.92731,0.138906
3.575873016,0.0987881,0.865118,0.204331,0.439137,0.0164943,0.182406,0.181325,0.123133,0.248532,0,2.1795,0.1251
3.622312925,0.0372761,0.319251,0.546154,0.405459,0.0212391,0.268155,0.00978513,0.113185,0.687514,0,2.3123,0.233811
3.668752834,0.029081,0,0.630285,0.215926,0.264116,0.369958,0,0.0934959,0.755929,0,2.08062,0.446189
3.715192744,0.0665158,0,0.269443,0.0827137,0.689479,0.192912,0,0.0757811,0.326276,0.0319382,2.06202,0.339033
3.761632653,0.0437193,0.546009,0.255997,0,0.520794,0.224778,0,0.301652,0.0797425,0.215511,2.45484,0.291621
3.808072562,4.95487e-05,0.545743,0.250378,0.439189,0.255938,0.280011,0,0.268514,0.00207056,0.477293,2.82103,0.302694
3.854512472,0,0.157774,0.252978,0.844086,0.13873,0.49117,0.00883498,0.0949023,0.0371836,0.508471,2.8838,0.213686
3.900952381,0,0.000880242,0.234216,0.91171,0.0810658,0.656762,0.000965198,0.109916,0.0533453,0.425563,2.94519,0.414092
3.947392290,0.199474,0.0443037,0.215843,0.867424,0.0505899,0.458981,0,0.0938264,0.0182202,0.318508,3.15974,0.177798
3.993832200,0.351251,0.0351828,0.200529,0.43104,0.0149273,0.513717,0,0.101252,0.0709613,0.261658,3.23067,0.00338079
