TIME,A,Bb,B,C,C#,D,Eb,E,F,F#,G,Ab
0.000000000,0,0,0,0,0,0,0,0,0,0,0,0
0.046439909,0,0,0,0,0,0,0,0,0,0,0,0
0.092879819,0,0,0,0,0,0,0,0,0,0,0,0
0.139319728,0,0,0,0,0,0,0,0,0,0,0,0
0.185759637,0,0,0,0,0,0,0,0,0,0,0,0
0.232199546,0.730635,1.04974,0.452331,0.716039,0.679877,1.12652,0.0936167,0.0401421,1.62843,0.0433772,0.552281,0.337931
0.278639456,0.262313,0.945652,0.697861,0.817969,0.4932,1.4177,0.177825,0.0896751,1.67931,0.0443858,0.422064,0.195352
0.325079365,0.685598,0.572117,0.948621,0.800494,0.151701,1.07919,0.146886,0.265398,1.90308,0.0526772,0.177941,0.26976
0.371519274,0.586011,0.652514,1.09508,0.802062,0,1.14345,0.398485,0.564979,1.41725,0.0939096,0.395065,0.169275
0.417959184,0.106369,0.733959,0.923567,0.0121318,0.492696,1.03048,0.666874,0.508002,0.734674,0.0509666,1.19103,0
0.464399093,0.15686,0.848486,0.736063,0.256848,0.588147,1.08216,0.424124,0.879584,0.788198,0.282964,1.45348,0
0.510839002,0.326272,0.763526,0.707849,0.567127,0.487713,1.29235,0.455902,0.987235,0.708851,0.25875,1.11928,0.0493766
0.557278912,0.177272,0.689478,0.487949,0.642871,0.398044,1.45006,0.502454,1.22606,0.664879,0.316695,0.832424,0.124174
0.603718821,0.15105,0.753302,0.611869,0.0867414,0.313777,1.21533,0.516713,1.18107,0.487305,0.319855,1.32228,0.194575
0.650158730,0.416606,0.64407,0.600257,0.23162,0.24127,1.01922,0.713677,0.453476,0.277293,0.371344,1.17919,0.371993
0.696598639,0.194417,0.462932,0.457906,0.730412,0.198977,1.52519,0.707446,0.0658932,0.191611,0.434117,0.852308,0.699808
0.743038549,0.160935,0.388765,0.650317,0.263078,0.00811238,1.77598,0.601078,0.31971,0.418856,0.131694,1.08136,0.343235
0.789478458,6.03957e-05,0.113362,0.464164,0.423598,0.17804,1.89583,0.518811,0.996686,0.510455,0,1.62881,0.460186
0.835918367,0,0.0608766,0.435934,0.565685,0.31732,2.05534,0.49286,1.05741,0.697333,0,1.16576,0.684232
0.882358277,0,0.0213666,0.717471,0.280954,0.323727,2.22145,0.590022,0.846124,0.802518,0,0.612161,0.687163
0.928798186,0.323566,0.0918023,0.659629,0.0223,0.251051,1.63303,0.587135,0.490612,0.54489,0.23786,0.972303,0.676037
0.975238095,0.440461,0.640065,0.292217,0.0870223,0.229247,1.51441,0.605972,0.355563,0.414535,0.564554,1.10095,0.789756
1.021678005,0.00455547,0.777704,0.538792,0.0637726,0.0992481,1.68227,0.857695,0.750258,0.662543,0.0946814,0.906981,0.811376
1.068117914,0.0671112,0.643402,1.16488,0.143063,0.0151704,1.57705,0.619523,0.712625,0.627857,0,1.47357,0.749799
1.114557823,0.238636,0.373411,1.33327,0.478066,0,1.56266,0.610202,0.874593,0.561682,0,1.10771,0.747501
1.160997732,0.24335,0.191559,1.2284,0.508668,0,1.24461,0.807535,1.05042,0.247176,0.0648859,1.01025,0.64447
1.207437642,0.0639881,0.00168568,1.17392,0.23429,0,1.16332,1.09906,1.10564,0.226593,0.209616,1.27074,0.572755
1.253877551,0.0529374,0.220575,0.776123,0.580879,0,1.0631,1.00733,1.03501,0.160705,0.181156,1.37545,0.620793
1.300317460,0.62234,0.599064,0.301029,0.340431,0.351541,1.19083,0.569839,0.482701,0.346626,0.633303,0.780824,0.568399
1.346757370,0.238594,0.796645,1.38264,0.0329773,0.406783,1.13254,0.810123,0.552395,0.54447,0.640811,0.375895,0.803102
1.393197279,0.208585,0.396381,1.75721,0.0697,0.355526,1.04763,1.4606,0.764124,0.198895,0.54095,0.431957,0.721718
1.439637188,0.0641812,0.209678,1.55924,0.244558,0.532648,1.17863,1.31124,0.595399,0.116455,0.564818,0.556152,0.970991
1.486077098,0.0284685,0.00170234,1.4611,0.549397,0.28205,1.39662,1.17702,0.599395,0.158074,0.363248,0.534369,1.31669
1.532517007,0.23991,0.00106618,1.45083,0.706769,0.0834019,1.45854,1.04691,0.402634,0.251439,0.404405,0.512437,1.48998
1.578956916,0.0549045,0.210576,0.789017,0.971074,0.0157232,1.70156,0.5646,0.250513,0.471054,0.797863,0.250684,1.44421
1.625396825,0.233575,0.619992,0.589714,0.960128,0.0197364,1.5869,0.448204,0.359891,0.25191,0.556482,0.333783,0.710507
1.671836735,0,0.5833,0.849422,0.815717,0.331712,1.38435,0.668299,0.211827,0.0729719,0.00588375,1.15382,0.970237
1.718276644,0.0130028,0.719583,0.8527,0.926199,0.32606,1.06986,1.05518,0.497908,0.0610724,0.27779,0.931686,1.11585
1.764716553,0.0306291,0.586437,0.94458,0.358616,0.323681,0.954552,1.24661,0.750803,0.277507,0.242454,1.12943,1.07767
1.811156463,0,0.349034,1.09858,0.222168,0.420727,0.851269,1.55561,0.830016,0.199432,0.198959,1.28639,0.920745
